Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Duplicate),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Investigation reason),Custom field (Issue color),Custom field (Operational categorization),Custom field (Organizations),Custom field (Pending reason),Custom field (Product categorization),Custom field (Production Outage Severity),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Request participants),Custom field (Request participants),Custom field (Request participants),Custom field (Root cause),Satisfaction rating,Custom field (Severity),Custom field (Source),Custom field (Start date),Custom field (Story point estimate),Custom field (Urgency),Custom field (Workaround),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Page broken on NurseJournal hey all,  page is broken on NJ https://nursejournal.org/registered-nursing/guide-to-become-a-rn/",HE-514,11300,Incident,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Resolved,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5af34a21f8e21e24e0f918ba,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5af34a21f8e21e24e0f918ba,01/Nov/18 7:59 AM,01/Nov/18 8:26 AM,19/Mar/19 1:06 PM,01/Nov/18 8:26 AM,,0,521,Frontend,Incident,NurseJournal.org,XYZsites,,,,,,,,,,,,,dacosta,,,,,,,,,,,,,01/Nov/18 8:18 AM;dacosta;image-2018-11-01-08-18-38-505.png;https://highereducation.atlassian.net/secure/attachment/10149/image-2018-11-01-08-18-38-505.png,01/Nov/18 7:59 AM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5af34a21f8e21e24e0f918ba;image.png;https://highereducation.atlassian.net/secure/attachment/10147/image.png,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i007fj:,he/09f1f327-dcaa-4493-a28b-5d098f595273,English,,,,,,,Minor Incident,,,,,,2018-11-01 13:00:01.042,01/Nov/18 8:00 AM;dacosta;This issue requires your attention. [~mcomardo],"01/Nov/18 8:00 AM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5af34a21f8e21e24e0f918ba;

!image.png|thumbnail!","01/Nov/18 8:19 AM;dacosta;Hey Rich, I'm seeing everything ok. Is it still happening to you?
 !image-2018-11-01-08-18-38-505.png|thumbnail! ",01/Nov/18 8:22 AM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5af34a21f8e21e24e0f918ba;Works now. You work your magic once again,01/Nov/18 8:25 AM;dacosta;Hahaha. Try it out some time! Sip Coffee while staring at the screen :) remember not to blink!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typesofengineeringdegrees.org - Form Issue (Ashford University),HE-513,11296,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,Done,dacosta,syncbot,syncbot,31/Oct/18 2:25 PM,13/Feb/19 8:53 AM,19/Mar/19 1:06 PM,31/Oct/18 2:49 PM,,0,AshfordUniversity,Incident,Monetization,Offshore,Select,TypesOfEngineeringDegrees.org,,,,,,,,,,"*PC: Chrome* Form Issue : No selections on dropdown button “select a program” _(Ashford University)_
+https://schools.typesofengineeringdegrees.org/forms/ashford-university+
*Picture* +https://docs.google.com/document/d/11O2kfbvbdEjGKQ6krx-voJXepu8Vsn1dB09kBmDFaoE/edit+",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i007en:,,English,,,,,,,,,,,,,2018-10-31 19:25:04.471,31/Oct/18 2:25 PM;dacosta;This issue requires your attention. [~mcomardo],31/Oct/18 2:47 PM;dacosta;Thank you for reporting! This is a known issue and a fix is coming out shortly to avoid schools from showing up on unassigned publisher sites. ,"13/Feb/19 8:53 AM;syncbot;➤ {color:#999999}_Dave@Cafeto commented:_{color}

Ashford is no longer showing up. Closing this. Thank you!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collegechoice.net - Data-count greater than number of directory links,HE-512,11294,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,31/Oct/18 1:12 PM,07/Nov/18 5:01 PM,19/Mar/19 1:06 PM,31/Oct/18 1:43 PM,,0,Affiliate,CollegeChoice.net,DirectoryLinks,EditorialLinks,Offshore,ServiceRequest,,,,,,,,,,"*PC: Chrome* Data-count(4) greater than number of directory links(1)
+https://www.collegechoice.net/rankings/best-interior-design-degrees/+
*PC: Chrome* Data-count(4) greater than number of directory links(2)
+https://www.collegechoice.net/rankings/best-sports-management-degrees+
*PC: Chrome* Data-count(4) greater than number of directory links(2)
+https://www.collegechoice.net/best-online-law-schools/+
*PC: Chrome* Data-count(4) greater than number of directory links(2)
https://www.collegechoice.net/rankings/best-forensic-science-degrees/
*PC: Chrome* Data-count(4) greater than number of directory links(1)
https://www.collegechoice.net/rankings/best-interior-design-degrees/",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i007e7:,,English,,,,,,,,,,,,,2018-10-31 18:12:47.869,31/Oct/18 1:12 PM;dacosta;This issue requires your attention. [~mcomardo],"31/Oct/18 1:42 PM;dacosta;These directory links are working correctly. the 'data count' parameter only states how many schools can be shown. However, this doesn't mean there will always be that amount of schools.
The Schools are shown depending on their availability , restrictions and Adblock settings.

Thank you for reporting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toprntobsn.com - Error on Link,HE-511,11293,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,31/Oct/18 1:12 PM,31/Oct/18 1:31 PM,19/Mar/19 1:06 PM,31/Oct/18 1:31 PM,,0,Affiliate,Content,Incident,links,Offshore,TopRNtoBSN.com,,,,,,,,,,"*PC: Chrome* Error on Link: _The requested URL could not be retrieved_
+https://www.toprntobsn.com/+
*Picture* +https://docs.google.com/document/d/1f6-rWFMSzPVp59BoR98GiRvHuhRo4LoOn_iP8jdjLXM/edit+",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i007dz:,,English,,,,,,,,,,,,,2018-10-31 18:12:43.987,31/Oct/18 1:12 PM;dacosta;This issue requires your attention. [~mcomardo],31/Oct/18 1:29 PM;dacosta;The affiliate will be alerted so they can change the link. Thank you for reporting. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM - Apply Now =MComardo Email,HE-510,11292,Service Request,Escalated,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,,dacosta,dacosta,dacosta,31/Oct/18 9:42 AM,05/Dec/18 7:49 AM,19/Mar/19 1:06 PM,,,0,Leads,ServiceRequest,tbs.org,TrackingPixel,,,,,,,,,,,,"David - 

Can you confirm tracking as OPM expects for these buttons? Chris & Andres can help navigate the implementations as I’m not too familiar with them.

Thanks!

Here's a live link:
https://thebestschools.org/top-20-online-theology-masters-degree-programs/

┆{color:#707070}Attachments: [image.png|https://app.asana.com/app/asana/-/get_asset?asset_id=891361851968765] | [image.png|https://app.asana.com/app/asana/-/get_asset?asset_id=892651707512622] | [image.png|https://app.asana.com/app/asana/-/get_asset?asset_id=892651707512624]{color}
",,dacosta,syncbot,,,,,,,,,,,,31/Oct/18 11:24 AM;dacosta;RepeatedConversions.png;https://highereducation.atlassian.net/secure/attachment/10146/RepeatedConversions.png,01/Nov/18 9:34 AM;dacosta;image-2018-11-01-09-34-14-255.png;https://highereducation.atlassian.net/secure/attachment/10150/image-2018-11-01-09-34-14-255.png,01/Nov/18 9:36 AM;dacosta;image-2018-11-01-09-36-25-323.png;https://highereducation.atlassian.net/secure/attachment/10151/image-2018-11-01-09-36-25-323.png,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i007dr:,he/85fb3dff-7ea5-43f6-b162-5e9b33af8c8c,English,,,,,,,,,,,,,2018-11-01 18:24:59.218,31/Oct/18 9:42 AM;dacosta;This issue requires your attention. [~mcomardo],"31/Oct/18 11:22 AM;dacosta;Both buttons are counting *views* on Metabase.
However, When looking at *conversions* the `Apply Now` button counted and the `Request Info` didn't.
But while filling the user info for the `Apply Now` button, 3 conversions were sent to Metabase - I figure this isn't desired behavior because it triplicated the conversions seen on Metabase.

Moreover, after that happened. The `Request Info` button is sending me directly to SEL Forms (even though there are caps available). Even after trying on new Incognito windows and after clearing cache. Next steps will be to try and change my IP by looking for another VPN server.","31/Oct/18 11:30 AM;dacosta;Metabase queries:

Views:

https://metabase.bi.apps.highereducation.com/question#eyJuYW1lIjpudWxsLCJkYXRhc2V0X3F1ZXJ5Ijp7ImRhdGFiYXNlIjo2LCJ0eXBlIjoibmF0aXZlIiwibmF0aXZlIjp7InF1ZXJ5IjoiU2VsZWN0ICogZnJvbSBub3JtYWxpemVkX2V2ZW50c1xud2hlcmUgc2Nob29sID0gJ0xveW9sYSBVbml2ZXJzaXR5IE5ldyBPcmxlYW5zIE9ubGluZSdcbmFuZCBcImV2ZW50S2V5XCIgaW4gKCdMSU5LT1VUX1BST0RVQ1RfVklFVycsICdXSU5LT1VUX1BST0RVQ1RfVklFVycpXG5hbmQgZGF0ZShcImNyZWF0ZWRBdFwiKSBiZXR3ZWVuIGRhdGUoJzIwMTgtMTAtMzEnKSBhbmQgZGF0ZSgnMjAxOC0xMC0zMScpXG5vcmRlciBieSBcImNyZWF0ZWRBdFwiIGRlc2M7IiwidGVtcGxhdGVfdGFncyI6e30sImNvbGxlY3Rpb24iOiJjb252ZXJzaW9uX2V2ZW50cyJ9fSwiZGlzcGxheSI6InRhYmxlIiwidmlzdWFsaXphdGlvbl9zZXR0aW5ncyI6e319

IDs: 157,948,494 AND 157,948,375

Conversions:
https://metabase.bi.apps.highereducation.com/question#eyJuYW1lIjpudWxsLCJkYXRhc2V0X3F1ZXJ5Ijp7ImRhdGFiYXNlIjo2LCJ0eXBlIjoibmF0aXZlIiwibmF0aXZlIjp7InF1ZXJ5IjoiU2VsZWN0ICogZnJvbSBub3JtYWxpemVkX2V2ZW50c1xud2hlcmUgc2Nob29sID0gJ0xveW9sYSBVbml2ZXJzaXR5IE5ldyBPcmxlYW5zIE9ubGluZSdcbmFuZCBcImV2ZW50S2V5XCIgaW4gKCdMSU5LT1VUX1BST0RVQ1RfQ09OVkVSU0lPTicsICdXSU5LT1VUX1BST0RVQ1RfQ09OVkVSU0lPTicpXG5hbmQgZGF0ZShcImNyZWF0ZWRBdFwiKSBiZXR3ZWVuIGRhdGUoJzIwMTgtMTAtMzEnKSBhbmQgZGF0ZSgnMjAxOC0xMC0zMScpXG5vcmRlciBieSBcImNyZWF0ZWRBdFwiIGRlc2M7IiwidGVtcGxhdGVfdGFncyI6e30sImNvbGxlY3Rpb24iOiJjb252ZXJzaW9uX2V2ZW50cyJ9fSwiZGlzcGxheSI6InRhYmxlIiwidmlzdWFsaXphdGlvbl9zZXR0aW5ncyI6e319

IDs: 157,948,727 AND 157,949,212 AND 157,949,423 AND 157,949,496
 !RepeatedConversions.png|thumbnail! ","31/Oct/18 5:32 PM;dacosta;Continuing the monitoring tomorrow, since the daily capacity is 2, this seems it will take a while.","01/Nov/18 9:36 AM;dacosta;Today after testing both buttons the behavior was the same.
When pressing * Request Info *, the VIEW is registered on Metabase and after filling the form, a CONVERSION is seen on Metabase.

When pressing *APPLY NOW* a VIEW is sent to Metabase. However, while filling the forms there is an issue: The CONVERSION fires three times. I think it is because the application has several forms, so whenever it changes form, the CONVERSION fires again.

 !image-2018-11-01-09-34-14-255.png|thumbnail! 
 !image-2018-11-01-09-36-25-323.png|thumbnail! ","01/Nov/18 1:24 PM;syncbot;➤ {color:#999999}_Dave@Cafeto commented:_{color}

Assigning to [Chris Gomez](https://app.asana.com/0/721627832894916/list) since he implemented the feature. Please let me know if I can help with anything else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestvalueschools.com - Content misalignment,HE-509,11291,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Won't Do,dacosta,syncbot,syncbot,31/Oct/18 8:45 AM,31/Oct/18 9:31 AM,19/Mar/19 1:06 PM,31/Oct/18 9:30 AM,,0,Affiliate,BestValueSchools.com,Content,Offshore,ServiceRequest,,,,,,,,,,,"*Mobile: SamsungS5 Chrome* Texts too compressed
+https://www.bestvalueschools.com/psychology/masters-degree-programs/+
*Picture :* +https://docs.google.com/document/d/1exPPpnnwlgUPi2ghfRegdOSq9PKW51C8NuaUWD1Ifuk/edit+",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i007dj:,,English,,,,,,,,,,,,,2018-10-31 13:45:43.305,31/Oct/18 8:45 AM;dacosta;This issue requires your attention. [~mcomardo],"31/Oct/18 9:29 AM;dacosta;This is made by design, it will adjust around the badge depending on the screen size. If the text were set to have a straight alignment, the page would be unnecessarily long in some cases. Thank you for reporting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collegechoice.net - Text overlaps,HE-508,11290,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,31/Oct/18 8:43 AM,31/Oct/18 5:46 PM,19/Mar/19 1:06 PM,31/Oct/18 9:07 AM,,0,Affiliate,CollegeChoice.net,Content,Offshore,ServiceRequest,,,,,,,,,,,"*Mobile: SamsungS5 Chrome* Text overlaps image and screen using this device.

+https://www.collegechoice.net/rankings/best-sports-management-degrees+
*Picture :* +https://docs.google.com/document/d/1od7UbcGXw1hBp8QOCgUsX6tUcJKqP-iNCCBwajtJ54A/edit+

+https://www.collegechoice.net/rankings/top-undergraduate-business-schools/+
*Picture :*
+https://docs.google.com/document/d/1gfJ6xmhs0SLXu24rtAuo7YCFCjJAjjMsmfCNDiLQ23Q/edit+",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i007db:,,English,,,,,,,,,,,,,2018-10-31 13:44:00.976,31/Oct/18 8:44 AM;dacosta;This issue requires your attention. [~mcomardo],31/Oct/18 9:07 AM;dacosta;This will be forwarded to the affiliate for changes. Thank you for reporting!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thebestschools.org - Less than 3 Directory Links,HE-507,11289,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,30/Oct/18 4:06 PM,29/Nov/18 2:30 PM,19/Mar/19 1:06 PM,30/Oct/18 4:50 PM,,0,AdBlock,DirectoryLinks,Frontend,Offshore,ServiceRequest,TheBestSchools.org,,,,,,,,,,"*PC: Chrome* Less than 3 Directory Links, Used Inspect Element ""Data-count"" keyword to check
+https://thebestschools.org/rankings/best-online-bachelors-social-work/+
*Picture* https://docs.google.com/document/d/1YnKx9UT4fHuM3e36r8ydAWg0_WvcDMdS3LANK--rIbw/edit",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i007d3:,,English,,,,,,,,,,,,,2018-10-30 21:06:42.38,30/Oct/18 4:06 PM;dacosta;This issue requires your attention. [~mcomardo],"30/Oct/18 4:50 PM;dacosta;These are ok. The data count only indicates the max amount of EL that can be listed. But If caps fill up or there are no more schools available, some popular schools will eventually stop showing up towards the end of the month.

Thank you for reporting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topmedicalcodingschools.com - Wrong School In Directory Link,HE-506,11288,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,Done,dacosta,syncbot,syncbot,30/Oct/18 4:06 PM,29/Nov/18 2:30 PM,19/Mar/19 1:06 PM,30/Oct/18 5:15 PM,,0,DirectoryLinks,Incident,Monetization,Offshore,Schools,TopMedicalCodingSchools.com,,,,,,,,,,"*PC: Chrome* Wrong School In Directory Link
+https://www.topmedicalcodingschools.com/best-remote-medical-coding-training-programs-online/+
+https://www.topmedicalcodingschools.com/how-much-does-a-medical-coding-and-billing-program-cost/+
*Picture* +https://docs.google.com/document/d/1revKWAC2OFErQ63AI0yuJUd8DJlrFk6WsYGVC_O76OI/edit+",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i007cv:,,English,,,,,,,,,,,,,2018-10-30 21:06:38.879,30/Oct/18 4:06 PM;dacosta;This issue requires your attention. [~mcomardo],30/Oct/18 5:14 PM;dacosta;Forwarding this because it is an affiliate site. Thank you for reporting! I'll add this to the other ticket.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topmedicalcodingschools.com - Outdated Directory Link,HE-505,11287,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,Done,dacosta,syncbot,syncbot,30/Oct/18 4:06 PM,29/Nov/18 2:30 PM,19/Mar/19 1:06 PM,30/Oct/18 4:45 PM,,0,DirectoryLinks,Kaplan,Monetization,Offshore,ServiceRequest,TopMedicalCodingSchools.com,,,,,,,,,,"*PC: Chrome* Outdated Directory Link _(Kaplan University on Directory Link should be Purdue University)_
+https://www.topmedicalcodingschools.com/how-much-does-a-medical-coding-and-billing-program-cost/+
+https://www.topmedicalcodingschools.com/best-medical-coding-and-billing-programs-online/+
*Picture* https://docs.google.com/document/d/1VzSXTGYl1rfkF5_gIUIQvjZNaYNMjUabEX0srGXkzjg/edit",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i007cn:,,English,,,,,,,,,,,,,2018-10-30 21:06:35.671,30/Oct/18 4:06 PM;dacosta;This issue requires your attention. [~mcomardo],"30/Oct/18 4:44 PM;dacosta;Great Find, these DLs will have to be changed to PUG. Thank you for reporting.

Forwarding the issue.","30/Oct/18 5:03 PM;syncbot;➤ {color:#999999}_Dave@Cafeto commented:_{color}

Hello [Shilpa Shyam](https://app.asana.com/0/231159015628484/list),

This is an affiliate site, it still has Kaplan SEL links. These should be changed to PUG: http://schools.collegedegrees.com/forms/purdue-university-global?program=23543

Thank you!","30/Oct/18 5:24 PM;syncbot;➤ {color:#999999}_Dave@Cafeto commented:_{color}

Adding this bit too, since it's a similar issue on the same site:

PC: Chrome Wrong School In Directory Link
+https://www.topmedicalcodingschools.com/best-remote-medical-coding-training-programs-online/
+https://www.topmedicalcodingschools.com/how-much-does-a-medical-coding-and-billing-program-cost/
Picture +https://docs.google.com/document/d/1revKWAC2OFErQ63AI0yuJUd8DJlrFk6WsYGVC_O76OI/edit

The links are pointing to Keiser, but they say Miller Motte.
Since Miller Motte is no longer live, I'd suggest them to change the text to say ""Associates in- Medical Administrative Billing and Coding - Keiser University""

Thank you again Shilpa!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[BUG] [Platform] DCS not populating in QDF,HE-504,11286,Incident,Escalated,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,,dacosta,dacosta,dacosta,30/Oct/18 10:42 AM,30/Oct/18 1:59 PM,19/Mar/19 1:06 PM,,,0,Backend,Incident,Widgets,,,,,,,,,,,,,https://app.asana.com/0/517412949117819/841055837182176/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i007cf:,he/457cf4ff-c199-4783-a7b3-e41988aa1f15,English,,,,,,,Degradation of Service,,,,,,,30/Oct/18 10:42 AM;dacosta;This issue requires your attention. [~mcomardo],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CriminalJusticeUsa.com School Removal,HE-503,11284,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b5a0c40dfe79e2c947cdecf,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b5a0c40dfe79e2c947cdecf,29/Oct/18 5:33 PM,02/Nov/18 10:42 AM,19/Mar/19 1:06 PM,30/Oct/18 10:42 AM,,0,Compliance,CriminalJusticeUSA.com,Frontend,ServiceRequest,,,,,,,,,,,,"As reported by [Shilpa Shyam|https://app.asana.com/0/231159015628484/list]:

Hey guys, not sure if we can work on this site.. but if we can, could we get ""Brown College"" removed from 
https://www.criminaljusticeusa.com/minnesota/

Thank you 😀",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i007bz:,he/0945967d-c632-4593-aba1-64e6117d6e5e,English,,,,,,,,,,,,,2018-10-29 22:33:26.941,29/Oct/18 5:33 PM;dacosta;This issue requires your attention. [~mcomardo],"30/Oct/18 8:30 AM;dacosta;Hello Shilpa!

I removed the entry from the page, feel free to check it out. Hope that's what you had in mind!


","30/Oct/18 10:40 AM;syncbot;➤ {color:#999999}_Shilpa Shyam commented:_{color}

Perfect, thank you!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thebestcolleges.org - Ashford DL broken,HE-502,11283,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,High,Duplicate,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5bd0910b607ed03804018328,syncbot,29/Oct/18 3:43 PM,30/Oct/18 9:01 AM,19/Mar/19 1:06 PM,29/Oct/18 3:46 PM,,0,AshfordUniversity,Backend,Incident,links,Monetization,TheBestColleges.org,,,,,,,,,,https://highereducation.atlassian.net/servicedesk/customer/portal/2/HE-500,,dacosta,syncbot,,,,,,,,,,,HE-500,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i007br:,,English,,,,,,,,,,,,,2018-10-29 20:43:54.866,29/Oct/18 3:43 PM;dacosta;This issue requires your attention. [~mcomardo],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bestcolleges.com - Broken link / form (Capella/Walden),HE-501,11282,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,High,Duplicate,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5bd0910b607ed03804018328,syncbot,29/Oct/18 3:43 PM,30/Oct/18 8:57 AM,19/Mar/19 1:06 PM,29/Oct/18 3:45 PM,,0,Backend,BestColleges.com,Capella,Incident,links,Monetization,Walden,,,,,,,,,https://highereducation.atlassian.net/servicedesk/customer/portal/2/HE-499,,dacosta,syncbot,,,,,,,,,,,HE-499,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i007bj:,,English,,,,,,,,,,,,,2018-10-29 20:43:51.725,29/Oct/18 3:43 PM;dacosta;This issue requires your attention. [~mcomardo],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
